0.01985		0.03458		0.01473		0.04422		
0.01250		0.02208		0.01105		0.02948		
0.02279		0.01913		0.01399		0.02506		
0.01397		0.02870		0.01620		0.02432		
0.01250		0.02649		0.01252		0.02137		
0.01912		0.01766		0.01767		0.02137		
0.02500		0.01692		0.02062		0.01990		
0.02206		0.01545		0.02135		0.01695		
0.01838		0.02208		0.01915		0.02358		
0.02206		0.01692		0.01988		0.01474		
0.01324		0.01251		0.01473		0.01916		
0.02059		0.01692		0.01546		0.00884		
0.02279		0.01692		0.02798		0.01474		
0.01544		0.01545		0.01767		0.02284		
0.02132		0.01398		0.01325		0.01769		
0.01765		0.01398		0.01841		0.01474		
0.02574		0.01325		0.02946		0.01253		
0.01912		0.01913		0.02356		0.02063		
0.01250		0.01251		0.01399		0.01621		
0.01838		0.02134		0.02135		0.01326		
0.02500		0.01177		0.01031		0.01990		
0.01324		0.01913		0.01620		0.01400		
0.01324		0.02502		0.01988		0.01842		
0.01691		0.02355		0.01841		0.01032		
0.01544		0.01913		0.01767		0.02137		
0.01544		0.01545		0.01620		0.01769		
0.01250		0.01545		0.01988		0.00958		
0.02132		0.02208		0.01473		0.02211		
0.01397		0.01545		0.01105		0.01621		
0.01029		0.01177		0.01841		0.01548		
0.01765		0.01619		0.01399		0.01695		
0.01471		0.01987		0.01841		0.01769		
0.02059		0.01840		0.02062		0.01326		
0.02279		0.02060		0.02356		0.01842		
0.00735		0.01913		0.02651		0.01474		
0.01103		0.01692		0.01399		0.01326		
0.01544		0.01398		0.01841		0.01548		
0.01691		0.01766		0.01841		0.01326		
0.01618		0.01619		0.01915		0.01695		
0.01985		0.01177		0.02062		0.00958		
0.02279		0.00957		0.02725		0.01253		
0.02059		0.01030		0.01325		0.01179		
0.02500		0.01545		0.01473		0.01474		
0.02500		0.01619		0.02209		0.01548		
0.03088		0.01840		0.01988		0.01548		
0.02059		0.01766		0.01988		0.01179		
0.01471		0.01692		0.01841		0.02506		
0.01544		0.02060		0.02356		0.01769		
0.01397		0.01177		0.01473		0.01695		
0.01618		0.02502		0.01767		0.01474		
0.02059		0.02208		0.02135		0.02506		
0.02794		0.02134		0.01252		0.02579		
0.01838		0.02208		0.02209		0.02948		
0.01471		0.01840		0.01841		0.02137		
0.01838		0.02870		0.01473		0.02579		
