(168, 69)
(27, 188)
(193, 134)
(3, 131)
(192, 194)
(15, 184)
(220, 9)
(9, 47)
(85, 147)
(19, 180)
(103, 150)
(184, 113)
(42, 163)
(33, 92)
(61, 174)
(196, 226)
(138, 181)
(55, 74)
(68, 188)
(111, 154)
(134, 41)
(144, 72)
(214, 223)
(95, 36)
(135, 131)
(70, 191)
(171, 117)
(146, 54)
(91, 98)
(202, 36)
(187, 37)
(83, 53)
(60, 148)
(104, 198)
(48, 4)
(94, 181)
(210, 205)
(37, 148)
(118, 219)
(181, 199)
(209, 208)
(132, 148)
(169, 194)
(174, 97)
(36, 89)
(45, 183)
(58, 153)
(97, 35)
(44, 171)
(20, 186)
(159, 173)
(126, 209)
(226, 48)
(161, 193)
(125, 118)
(185, 206)
(185, 23)
(125, 111)
(161, 36)
(226, 181)
(126, 20)
(159, 56)
(20, 43)
(44, 58)
(97, 194)
(58, 76)
(45, 46)
(36, 140)
(174, 132)
(169, 35)
(132, 81)
(209, 21)
(181, 30)
(118, 10)
(37, 81)
(210, 24)
(94, 48)
(48, 225)
(104, 31)
(60, 81)
(83, 176)
(187, 192)
(202, 193)
(91, 131)
(146, 175)
(171, 112)
(70, 38)
(135, 98)
(95, 193)
(214, 6)
(144, 157)
(134, 188)
(111, 75)
(68, 41)
(55, 155)
(138, 48)
(196, 3)
(61, 55)
(33, 137)
(42, 66)
(184, 116)
(103, 79)
(19, 49)
(85, 82)
(9, 182)
(220, 220)
(15, 45)
(192, 35)
(3, 98)
(193, 95)
(27, 41)
(168, 160)
